296.897, 130.904, 6.405,  6.649 False
296.686, 130.943, 6.437,  6.682 False
296.474, 130.983, 6.468,  6.715 False
296.262, 131.022, 6.500,  6.748 False
296.048, 131.062, 6.531,  6.781 False
295.833, 131.102, 6.563,  6.814 False
295.617, 131.142, 6.594,  6.847 False
295.400, 131.182, 6.626,  6.880 False
295.182, 131.223, 6.656,  6.913 False
294.964, 131.264, 6.688,  6.946 False
294.744, 131.305, 6.718,  6.979 False
294.523, 131.347, 6.749,  7.012 False
294.301, 131.388, 6.779,  7.045 False
294.078, 131.430, 6.810,  7.078 False
293.854, 131.472, 6.839,  7.111 False
293.630, 131.514, 6.870,  7.144 False
293.404, 131.556, 6.899,  7.177 False
293.177, 131.598, 6.930,  7.210 False
292.949, 131.641, 6.958,  7.243 False
292.720, 131.684, 6.988,  7.276 False
292.491, 131.726, 7.017,  7.309 False
292.260, 131.769, 7.047,  7.342 False
292.028, 131.812, 7.076,  7.375 False
291.796, 131.856, 7.105,  7.408 False
291.562, 131.899, 7.134,  7.441 False
291.328, 131.942, 7.164,  7.474 False
291.092, 131.986, 7.192,  7.507 False
290.855, 132.028, 7.221,  7.540 False
290.618, 132.069, 7.250,  7.573 False
290.379, 132.110, 7.280,  7.606 False
290.139, 132.150, 7.309,  7.639 False
289.898, 132.190, 7.339,  7.672 False
289.655, 132.230, 7.368,  7.705 False
289.412, 132.269, 7.398,  7.738 False
289.168, 132.308, 7.426,  7.771 False
288.923, 132.346, 7.456,  7.804 False
288.676, 132.383, 7.484,  7.837 False
288.429, 132.420, 7.513,  7.870 False
288.180, 132.456, 7.541,  7.903 False
287.931, 132.491, 7.570,  7.936 False
287.680, 132.525, 7.598,  7.969 False
287.428, 132.557, 7.627,  8.002 False
287.175, 132.590, 7.656,  8.035 False
286.921, 132.619, 7.683,  8.068 False
286.666, 132.648, 7.711,  8.101 False
286.409, 132.674, 7.740,  8.134 False
286.152, 132.700, 7.769,  8.167 False
285.893, 132.724, 7.798,  8.200 False
285.634, 132.746, 7.824,  8.233 False
285.373, 132.765, 7.853,  8.266 False
285.111, 132.784, 7.884,  8.299 False
284.848, 132.802, 7.916,  8.332 False
284.584, 132.820, 7.946,  8.365 False
284.319, 132.836, 7.975,  8.398 False
284.053, 132.851, 8.004,  8.431 False
283.786, 132.865, 8.032,  8.464 False
283.518, 132.877, 8.061,  8.497 False
283.249, 132.888, 8.090,  8.530 False
282.979, 132.897, 8.118,  8.563 False
282.707, 132.905, 8.147,  8.596 False
282.435, 132.910, 8.176,  8.629 False
282.162, 132.915, 8.206,  8.662 False
281.888, 132.918, 8.231,  8.695 False
281.613, 132.920, 8.253,  8.728 False
281.338, 132.922, 8.271,  8.761 False
281.062, 132.922, 8.283,  8.794 False
280.786, 132.921, 8.294,  8.827 False
280.509, 132.919, 8.302,  8.860 False
280.233, 132.916, 8.310,  8.893 False
279.956, 132.911, 8.315,  8.926 False
279.679, 132.905, 8.320,  8.959 False
279.401, 132.897, 8.325,  8.992 False
279.124, 132.888, 8.328,  9.025 False
278.847, 132.878, 8.332,  9.058 False
278.569, 132.866, 8.334,  9.091 False
278.292, 132.854, 8.338,  9.124 False
278.014, 132.842, 8.341,  9.157 False
277.737, 132.828, 8.342,  9.190 False
277.459, 132.814, 8.344,  9.223 False
277.182, 132.798, 8.345,  9.256 False
276.904, 132.781, 8.345,  9.289 False
276.626, 132.763, 8.346,  9.322 False
276.349, 132.744, 8.347,  9.355 False
276.072, 132.724, 8.348,  9.388 False
275.794, 132.703, 8.349,  9.421 False
275.517, 132.681, 8.350,  9.454 False
275.239, 132.660, 8.351,  9.487 False
274.962, 132.638, 8.351,  9.520 False
274.684, 132.615, 8.351,  9.553 False
274.407, 132.591, 8.351,  9.586 False
274.130, 132.567, 8.351,  9.619 False
273.853, 132.542, 8.351,  9.652 False
273.576, 132.516, 8.351,  9.685 False
273.299, 132.489, 8.351,  9.718 False
273.022, 132.461, 8.351,  9.751 False
272.745, 132.433, 8.351,  9.784 False
272.468, 132.404, 8.351,  9.817 False
272.191, 132.375, 8.352,  9.850 False
271.914, 132.346, 8.352,  9.883 False
271.637, 132.317, 8.352,  9.916 False
271.360, 132.288, 8.351,  9.949 False
271.084, 132.257, 8.351,  9.982 False
270.807, 132.227, 8.351, 10.015 False
270.530, 132.196, 8.351, 10.048 False
270.254, 132.165, 8.350, 10.081 False
269.978, 132.132, 8.350, 10.114 False
269.701, 132.100, 8.350, 10.147 False
